#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
106,"The Expanse Theme","Clinton Shorter",124,8B,40,2026-04-28,01:04,32,"space music","The Expanse - The Collector’s Edition",2019-12-13,27,44,60,8,0,0,-13,C Major,4,3JekHmsaTUG200nNWBQSZb,QMCXZ1900143
107,"Maybe Next Time","Band of Silver",156,3A,86,2026-04-28,03:12,10,"","Maybe Next Time",2022-06-24,60,1,0,81,0,0,-5,A#/B♭ Minor,4,6xiyNcBiVhuHX7xn3AsnVQ,QZS7J2218501
108,"Messiah, HWV 56, Pt. I: Pastoral Symphony,  Pifa  (Arr. L. Stokowski)","George Frideric Handel,Bournemouth Symphony Orchestra,José Serebrier",92,8B,3,2026-04-28,03:47,0,"barroca, clásica, coral, ópera, música antigua, orquestal, minimalismo","Bach, J.S. / Purcell / Handel: Stokowski Transcriptions",2006-09-01,11,96,87,4,0,0,-29,C Major,4,2WuYYACpbXgn41VaPN3IYs,HKI190554610
109,"Return - Original Mix","M.A.D.E.S",110,11B,68,2026-04-28,05:03,36,"synthwave","Return",2016-06-20,49,3,3,4,0,30,-6,A Major,4,6JS1zboZEMNJbfeJIfSzNU,GBTM61600003
110,"5 Seconds Before Sunrise","VER:WEST,Tiësto",122,2A,82,2026-04-28,04:35,41,"house orgánico, edm, trance, big room, house","5 Seconds Before Sunrise",2020-07-17,65,1,95,43,0,30,-8,D#/E♭ Minor,3,0hz9lCgIKOtZthsP2JTPAL,CYA112000511
111,"Daydreaming - Chill del Mar","Soleil Fisher",172,7B,50,2026-04-28,05:54,22,"lounge","Daydreaming (Chill del Mar)",2010-01-01,48,46,93,16,0,10,-12,F Major,4,1wNBUuVBiuPtDG50NyIrMB,DEBL60970049
112,"Hung","Sound Quelle",120,1B,84,2026-04-28,03:22,48,"house progresivo, house melódico, house orgánico, deep house, trance progresivo","Trait",2020-06-19,74,1,85,19,0,0,-5,B Major,4,5KteBzvgHmFUGpjJ8iN3XY,GBKQU2031149
113,"Peligro","Reik",127,8A,91,2026-04-28,03:41,62,"pop latino","Peligro",2012-06-22,68,1,0,94,0,10,-4,A Minor,4,5Giq7ViIXKkTtxOhzPY2Qf,MXF011100035
114,"Never Ending Story","Limahl",122,8B,80,2026-04-28,03:30,58,"synthpop","The Never Ending Story",2009-10-30,58,22,0,77,0,20,-8,C Major,4,2IAQnOWKWjj1iA166KznVd,GBAYE8400104
115,"Ice and Fire","Stive Morgan",112,4A,71,2026-04-28,07:34,0,"new age","Earth Breath",2014-09-28,56,29,72,22,0,10,-11,F Minor,4,0HbegF4OozCZaMX99nRlNk,FR96X1619810
116,"Canzone Angelica","Asher Quinn",114,7B,14,2026-04-28,06:18,23,"new age","Mystic Heart",2004-01-01,61,95,88,75,0,0,-17,F Major,4,3yxEvckuaG3Ur1rZRgIFi9,ushm91062700
117,"Voice of the Sea","Diane Arkenstone",90,12A,47,2026-04-28,05:16,0,"música nativa norteamericana, celta, new age, medieval","The Best of Diane Arkenstone",2005-03-08,49,24,88,21,0,0,-13,C♯/D♭ Minor,4,7wS3KJD1prrNnz5J9kxYaM,USI4R0504989
118,"Pura Vida","Chris Spheeris,Paul Voudouris",98,4B,46,2026-04-28,03:50,35,"new age","Enchantment",1992-01-01,58,10,88,9,0,0,-16,G#/A♭ Major,4,07e8uQjsxdRhuHbfUM44ax,uscgh1030391
119,"Dream//Expanse","Superposition",75,5A,21,2026-04-28,06:20,0,"spoken word, glitch","Form//Less",2020-04-03,16,70,88,3,0,10,-17,C Minor,4,1eZkqX08AurtH7oDQIZjda,US25X2001270
120,"LSNC","Miranda Santizo",97,9B,56,2026-04-28,02:33,15,"r&b latino, indie latino","LSNC",2022-03-25,81,27,0,78,0,10,-6,G Major,4,3LV3d4MEOVhcLuUhKvkltK,QM4TX2216159
121,"Himalaya","Mariangela",132,12B,49,2026-04-28,03:17,24,"música alternativa latina","Himalaya",2022-02-25,69,28,0,51,0,10,-9,E Major,4,74KFolNpy0UwidpiCu8oT4,USSD12200037
122,"Singapore Sling - Buddha Beach del Mar Cafe Mix","DJ Lounge Del Mar",100,12A,47,2026-04-28,06:28,22,"lounge","Wonderful Life",2010-10-01,64,25,86,31,0,10,-9,C♯/D♭ Minor,4,1xjJlW9N8QUfflKQ44rHum,DEBL60978351
123,"Padjelanta","Laponia",67,1B,2,2026-04-28,02:44,39,"","Sarek",2019-09-06,22,98,86,4,0,0,-28,B Major,3,5N5jZgY2X3sfj3HUSjg1Ic,SE5W31925702
124,"La mer se calme - Original Lounge Mix","Moon de Lounge",89,8A,32,2026-04-28,05:04,23,"lounge","La mer se calme",2010-01-01,83,26,91,12,0,10,-15,A Minor,4,61n5IvEDd84dMEwqeKk5Lb,DEBL61042450
125,"Chill Del La Mer - Blank Café Relax Mix","DJ Lounge Del Mar",80,8A,65,2026-04-28,06:08,30,"lounge","Wonderful Life",2010-10-01,45,64,86,28,0,10,-8,A Minor,4,141A9ha99plkFoOQ63RrDU,DEBL60978350
126,"Das Unheimliche","Asaph Sánchez",138,3B,37,2026-04-28,06:30,16,"ambient","Das Unheimliche",2020-05-01,16,95,96,3,0,10,-11,C♯/D♭ Major,4,64EQZLoqKiaxjghEeaxVxQ,QM42K1945164
127,"Pensando en ti","Romu Agulló",160,8B,89,2026-04-28,04:35,0,"","Café Del 30 Anniversary",2010-04-19,55,22,91,78,0,10,-8,C Major,4,4nTdjc3mPV0eMEoqV2fWpe,ES27C1030208
128,"Entering Twin Falls","Nicholas Gunn",112,8B,64,2026-04-28,04:10,0,"new age, trance","The Music of the Grand Canyon",1995-08-01,29,7,94,36,0,10,-13,C Major,5,3Mm13CNU92QA9OMzhyQZkm,USR2M9500010
129,"Yesterday's Dream","Catalina En Collins",120,6B,54,2026-04-28,02:31,25,"lounge","Yesterday's Dream",2021-10-29,68,4,92,25,0,10,-10,A#/B♭ Major,4,3eb9HO1cq8uzEmUdU7mNvs,SEXGF2194801
130,"New Jade","dreem",118,3B,51,2026-04-28,03:47,44,"","Rayn / New Jade",2021-06-11,75,65,93,5,0,10,-11,C♯/D♭ Major,4,0aXTlYIS7b7mMDMBUUAtFq,SE5Q52101172
131,"Waves","Navagio",113,4A,75,2026-04-28,02:38,31,"lounge","Waves",2021-10-22,72,7,76,59,0,30,-8,F Minor,4,1A2pH62d1USSUsxuoiRD8l,SE6RU2135001
132,"Water Gods","Lahti Synth Project",144,8A,72,2026-04-28,05:56,0,"","Before You Was Born",2019-02-21,65,43,83,44,0,20,-11,A Minor,4,3wKKHc6aWxSSd1ttKpiR4J,QZDPF1811830
133,"cbb to b sad","IDER",102,8B,77,2026-04-28,04:28,21,"","cbb to b sad",2021-08-02,71,30,0,71,0,10,-8,C Major,4,6X8lrdPxnChWtIOpLK9vQ1,GX3ZN2100004
134,"Somewhere In Time - Main Theme","Roger Williams",74,8B,8,2026-04-28,03:24,43,"orquestal","Somewhere In Time (Original Motion Picture Soundtrack)",1980-01-01,13,84,51,6,0,10,-19,C Major,4,68L5TNgWMtHcH8Ut5QZk60,USMC18010770
135,"Mineral","Camedor",183,9A,43,2026-04-28,04:58,18,"","Portal",2019-04-12,30,92,92,13,0,0,-10,E Minor,5,5l4XtEgfT0li1rjMxWWgfH,USA2P1918151
136,"Leaving The Docks","Zbigniew Preisner",121,9A,3,2026-04-28,01:29,37,"","The Secret Garden (Original Motion Picture Soundtrack)",1993-01-01,34,99,80,6,0,0,-23,E Minor,4,1b5qdcETwEAKc78vsiDZG6,US3M59344302
137,"When I Let Go","Fay Wildhagen",112,4B,41,2026-04-28,03:55,37,"pop noruego","Borders",2018-09-21,22,46,0,13,0,0,-9,G#/A♭ Major,4,1knbAQeG852S5ebxsfYIao,NOAGW1800062
138,"Week 4","The Acapulco Express",112,11A,49,2026-04-28,05:10,13,"indie latino, glitch","Month One",2020-05-29,65,70,95,90,0,10,-11,F#/G♭ Minor,4,1FP5gWiRMjw3vfvvbf241v,US66W2000264
139,"Kamikaze","Susanne Sundfør",124,1A,65,2026-04-28,05:11,0,"pop noruego, art pop","Ten Love Songs",2015-02-16,40,5,0,6,0,0,-8,G#/A♭ Minor,4,2cKo2UWaGTK2DCkn1T4vXW,NOAGW1400189
140,"Flashear","Yami Safdie",105,10A,77,2026-04-28,02:48,0,"","Flashear",2021-03-25,79,7,0,48,0,10,-5,B Minor,4,4OeeWngD8oM2PAVlG2N0Ry,ARHSB2100011
141,"Free Spirit","Khalid",140,7A,45,2026-04-28,03:02,55,"","Free Spirit",2019-04-05,63,31,0,11,0,10,-9,D Minor,4,2kAIpGWnlFLQh48iut6Zzq,USRC11900440
142,"After The Sunrise","Yanni",104,8B,31,2026-04-28,04:37,10,"new age","Collections",2008-02-15,44,30,90,7,0,10,-12,C Major,3,17cZR0uT6ItfyS7TCnD2Tg,USPM18701002
143,"Rabbit In The Headlights","Michael Oakley",108,10B,57,2026-04-28,04:13,41,"synthwave, synthpop, vaporwave","Rabbit In The Headlights",2016-10-29,54,8,1,31,0,30,-10,D Major,4,5F7KY5n0P2GdCJ5Y1yqzEY,GBLFP1645070
144,"Levitate","Kalax",95,6B,54,2026-04-28,05:13,31,"synthwave, vaporwave, chillwave, synthpop","Kalax",2017-04-10,37,3,96,4,0,0,-10,A#/B♭ Major,4,61n7NDjiD9CRUVT1TLvCJR,TCADA1731371
145,"Bend & Break","FM-84,Ollie Wride",92,3B,64,2026-04-28,05:16,0,"synthwave, vaporwave, synthpop, chillwave","Bend & Break",2019-02-14,52,3,0,16,0,0,-9,C♯/D♭ Major,4,4IoCXKpR6xIZWAIU1o4Utp,QZDA71919648
146,"New Cydonia (Alternate Version)","Starcadian",103,6A,80,2026-04-28,04:21,37,"synthwave","Deep Cuts",2019-01-11,54,0,11,95,0,10,-9,G Minor,4,4quEnq53y9XiUjyfsTscS0,TCADZ1832835
147,"Tokyo Night Train","The Midnight",120,7B,56,2026-04-28,05:36,0,"synthwave, vaporwave, synthpop, chillwave","Nocturnal",2017-10-14,58,81,94,27,0,20,-14,F Major,4,7kHjOr09QXjBRKckr0vPpd,TCADH1787623
148,"The Trip","Still Corners",120,10A,73,2026-04-28,06:14,0,"dream pop","Strange Pleasures",2013-05-07,70,17,1,42,0,10,-7,B Minor,4,3TIkuJp4rqDnQgpNkkpxLr,USSUB1203501
149,"Calmative","Vincente M",78,9B,0,2026-04-28,03:42,0,"","First Flower",2018-06-18,26,99,95,8,0,0,-29,G Major,1,6k1DasduiT5LjawgYPg3pF,SEYOK1835164
150,"Tabernacle","Lotte Pen",120,8A,56,2026-04-28,05:36,0,"","Tabernacle",2019-05-03,46,88,90,8,0,0,-10,A Minor,4,7aFOpxLxQAUcUSnqBb7x63,NLW6T1900021
151,"Pillars","Hushed",116,8B,19,2026-04-28,04:25,39,"","Pillars",2017-05-05,25,94,88,4,0,10,-17,C Major,5,3O6WW96m7PnRA7oMKyG9IU,SE5Q51700963
152,"Luminescence","Trevor Kowalski",62,3B,20,2026-04-28,03:33,37,"","Luminescence",2018-08-24,12,76,91,4,0,10,-19,C♯/D♭ Major,4,0jGmCbjbB6jW4WIrpKsb1Y,SE5Q51800749
